ID,Hierarchical_Labels
1,152.0
2,152.0
3,142.0
4,152.0
5,152.0
6,141.0
7,155.0
8,152.0
9,152.0
10,141.0
11,152.0
12,152.0
13,330.0
14,331.0
15,331.0
16,331.0
17,330.0
18,331.0
19,331.0
20,331.0
21,326.0
22,326.0
23,624.0
24,624.0
25,624.0
26,624.0
27,624.0
28,625.0
29,625.0
30,625.0
31,625.0
32,625.0
33,625.0
34,625.0
35,625.0
36,381.0
37,381.0
38,625.0
39,625.0
40,625.0
41,625.0
42,623.0
43,625.0
44,625.0
45,120.0
46,552.0
47,152.0
48,552.0
49,552.0
50,552.0
51,552.0
52,155.0
53,552.0
54,552.0
55,552.0
56,552.0
57,120.0
58,552.0
59,152.0
60,155.0
61,155.0
62,155.0
63,155.0
64,155.0
65,331.0
66,155.0
67,155.0
68,155.0
69,328.0
70,570.0
71,331.0
72,399.0
73,399.0
74,623.0
75,623.0
77,623.0
78,623.0
79,623.0
80,623.0
81,623.0
82,623.0
83,623.0
84,623.0
85,623.0
86,623.0
88,674.0
89,674.0
90,623.0
91,623.0
92,625.0
93,623.0
94,674.0
95,623.0
96,623.0
97,552.0
98,623.0
99,552.0
100,120.0
101,625.0
102,625.0
103,152.0
104,330.0
105,20.0
106,20.0
107,184.0
108,185.0
109,184.0
110,184.0
111,183.0
112,296.0
113,249.0
114,293.0
115,293.0
116,263.0
117,293.0
118,305.0
119,182.0
120,5.0
121,251.0
122,41.0
123,42.0
124,41.0
125,65.0
126,64.0
127,41.0
128,530.0
129,41.0
130,41.0
131,65.0
132,65.0
133,65.0
134,64.0
135,730.0
136,37.0
137,37.0
138,38.0
139,41.0
140,37.0
141,65.0
142,11.0
143,11.0
144,11.0
145,47.0
146,14.0
147,14.0
148,2.0
149,6.0
150,6.0
151,6.0
152,6.0
153,6.0
154,48.0
155,47.0
156,66.0
157,41.0
158,103.0
159,240.0
160,392.0
161,392.0
162,392.0
163,392.0
164,392.0
165,392.0
167,298.0
168,298.0
170,298.0
171,183.0
172,113.0
173,112.0
174,307.0
176,98.0
177,98.0
178,99.0
179,98.0
180,98.0
181,99.0
182,99.0
183,314.0
184,99.0
185,114.0
186,99.0
187,99.0
188,51.0
189,114.0
190,99.0
191,99.0
192,94.0
193,99.0
194,503.0
195,503.0
196,503.0
197,503.0
198,499.0
199,475.0
200,475.0
201,502.0
202,613.0
203,613.0
204,477.0
205,477.0
206,477.0
207,477.0
208,477.0
209,502.0
210,502.0
227,178.0
232,544.0
233,97.0
234,360.0
235,119.0
236,119.0
237,119.0
238,119.0
239,119.0
240,119.0
241,352.0
242,360.0
243,360.0
244,352.0
245,360.0
246,359.0
247,567.0
248,368.0
249,368.0
250,567.0
251,368.0
252,368.0
253,368.0
254,368.0
255,93.0
256,516.0
257,169.0
258,169.0
259,169.0
260,169.0
261,359.0
263,132.0
264,132.0
265,184.0
266,728.0
267,125.0
268,125.0
269,123.0
270,122.0
271,122.0
272,122.0
273,122.0
274,122.0
275,122.0
276,169.0
277,204.0
278,122.0
279,338.0
280,122.0
281,122.0
282,127.0
283,339.0
284,204.0
285,148.0
286,339.0
287,339.0
288,190.0
289,139.0
290,135.0
291,194.0
292,196.0
293,402.0
294,427.0
295,411.0
296,429.0
297,421.0
298,411.0
299,428.0
300,689.0
305,49.0
306,51.0
307,49.0
308,544.0
309,544.0
310,103.0
311,114.0
312,103.0
313,114.0
314,546.0
315,114.0
316,546.0
317,49.0
318,49.0
319,51.0
320,544.0
323,180.0
325,135.0
326,177.0
328,113.0
332,465.0
335,139.0
337,423.0
338,428.0
339,421.0
340,421.0
341,428.0
342,256.0
356,187.0
358,536.0
359,100.0
362,93.0
365,421.0
366,421.0
367,238.0
369,338.0
374,346.0
375,339.0
376,361.0
377,96.0
378,560.0
379,147.0
380,207.0
381,207.0
382,199.0
383,126.0
384,538.0
385,538.0
386,538.0
387,554.0
388,554.0
389,372.0
390,96.0
391,96.0
392,96.0
393,93.0
394,99.0
395,308.0
396,275.0
397,9.0
398,84.0
399,300.0
400,301.0
401,300.0
402,300.0
415,100.0
416,146.0
417,102.0
418,101.0
419,101.0
420,101.0
421,101.0
422,193.0
423,105.0
424,101.0
425,101.0
426,101.0
427,101.0
428,101.0
429,101.0
430,106.0
431,101.0
432,106.0
433,101.0
434,101.0
442,281.0
454,258.0
469,98.0
487,100.0
500,314.0
515,542.0
525,97.0
527,101.0
547,183.0
568,21.0
586,312.0
597,103.0
612,106.0
649,106.0
650,102.0
660,251.0
673,99.0
675,19.0
681,183.0
702,106.0
751,100.0
752,99.0
753,99.0
757,106.0
758,760.0
760,761.0
761,761.0
774,103.0
780,183.0
798,23.0
846,311.0
867,100.0
875,97.0
883,629.0
884,191.0
892,96.0
893,96.0
896,10.0
913,112.0
931,23.0
936,103.0
937,103.0
957,191.0
971,100.0
978,178.0
984,421.0
992,247.0
996,139.0
997,184.0
998,178.0
1000,112.0
1002,202.0
1004,100.0
1013,714.0
1014,27.0
1016,27.0
1017,112.0
1018,103.0
1020,84.0
1021,116.0
1022,114.0
1025,117.0
1026,117.0
1027,117.0
1028,307.0
1029,277.0
1031,105.0
1032,105.0
1033,307.0
1035,117.0
1036,86.0
1037,86.0
1039,90.0
1040,90.0
1042,3.0
1043,143.0
1045,100.0
1047,283.0
1049,103.0
1050,183.0
1051,311.0
1052,114.0
1053,540.0
1054,114.0
1056,700.0
1057,178.0
1058,524.0
1060,100.0
1061,511.0
1063,48.0
1066,114.0
1067,641.0
1068,105.0
1071,727.0
1073,527.0
1074,18.0
1078,513.0
1079,511.0
1083,82.0
1088,99.0
1090,292.0
1092,515.0
1093,515.0
1096,714.0
1099,114.0
1100,100.0
1103,543.0
1110,104.0
1111,183.0
1112,299.0
1113,511.0
1119,106.0
1120,179.0
1127,86.0
1128,86.0
1129,86.0
1131,90.0
1132,189.0
1137,524.0
1138,524.0
1139,284.0
1140,139.0
1144,292.0
1145,292.0
1146,106.0
1147,292.0
1148,16.0
1149,13.0
1150,207.0
1162,511.0
1163,511.0
