smiles,num_neigh,id_molecola,pred
C,3,0,0
C,3,0,0
CO,2,0,0
CO,2,0,0
CO,2,0,0
O=CO,2,0,0
C,3,1,1
Oc1ccccc1,2,1,1
O=c1ccoc2cccc(O)c12,4,1,1
C[C@@H]1OC[C@H](O)[C@H](O)[C@H]1O,4,1,1
O[C@H]1[C@H](O)COC[C@@H]1O,4,1,1
C,2,2,1
C,2,2,1
CCO,3,2,1
CCC,2,2,1
C,2,3,0
CC,2,3,0
CC,2,3,0
CCC,2,3,0
CC=O,3,4,0
CO[C@@H]1CC(O)O[C@H](CO)[C@H]1O,6,4,0
CC,1,5,0
C=O,2,5,0
OCc1ccccc1,3,5,0
[C-]#N,0,6,0
N=O,0,7,0
[O-][N@+]12CCCC[C@@H]1CCCC2,3,8,0
O=C1C=CCCN1,1,8,0
O=[NH+][O-],2,9,0
C=C,2,9,0
CC1CCCCC1,1,9,0
O=[NH+][O-],2,10,0
Cc1ccccc1,1,10,0
c1ccc2c(c1)OCO2,2,10,0
O=[NH+][O-],2,11,0
O=C1N=NCO1,1,11,0
O=[NH+][O-],2,12,0
CN1CCCCC1,1,12,0
O=[NH+][O-],2,13,0
O=CC1CCCCC1,3,13,0
O=[NH+][O-],2,14,0
C=O,2,14,0
C=O,2,14,0
C=O,2,14,0
Cc1ccccc1,1,14,0
O=[NH+][O-],2,15,0
Clc1cccc(Cl)c1,2,15,0
[O-][N+]12CCCC[C@H]1CCC2,3,16,0
O=C1CC[C@@H]2CCC[C@@H]3c4ccccc4N1[C@@H]23,6,16,0
[O-][N+]12CCCCC1CCCC2,3,17,0
O=C1CCCCN1,1,17,0
[O-][N+]12CCCCC1CCCC2,3,18,0
O=C1C=CCCN1,1,18,0
[O-][N+]12CCCCC1CCCC2,3,19,0
O=C1CCCCN1,1,19,0
[O-][N+]12CCCCC1CCCC2,3,20,0
O=C1CCCCN1,1,20,0
[O-][NH+]1CCc2cc3c(cc2C1)OCO3,3,21,0
c1ccc2c(c1)OCO2,1,21,0
[O-][n+]1ccc2ccccc2c1,1,22,0
[O-][NH+]1CC[C@]23C=CCC[C@H]2[C@H]1Cc1ccccc13,5,23,1
O=[Se](=O)([O-])[O-],3,24,1
[O-][NH2+]c1ccccc1,3,25,0
O=C1C=CC(=O)c2ccccc21,3,25,0
O=C[O-],2,26,0
Cc1ccccc1,1,26,0
O=C([O-])c1ccccc1,3,27,0
O=C([O-])c1ccccn1,3,28,0
O=C([O-])c1cccnc1,3,29,0
O=C[O-],2,30,0
O=C[O-],2,30,0
O=C[O-],2,31,0
O=C1N[C@H]2CS(=O)C[C@H]2N1,3,31,0
O=C[O-],2,32,0
O=C[O-],2,32,0
[SiH3]O[SiH3],1,33,0
[SiH3]O[SiH3],1,33,0
Br[C@@H]1CC[C@@H](Br)[C@@H](Br)CC[C@@H](Br)[C@@H](Br)CC[C@H]1Br,5,34,0
Br[C@@H]1CC[C@H](Br)[C@H](Br)CC[C@@H](Br)[C@@H](Br)CC[C@H]1Br,5,35,0
Br[C@@H]1CC[C@@H](Br)[C@@H](Br)CC[C@H](Br)[C@H](Br)CC[C@H]1Br,5,36,0
BrC1C2CCOC1CC2,4,37,0
O=C1CC2C=CC3C1COC23,6,37,0
C#CCBr,1,38,0
O=CCBr,3,39,0
Cc1ccccc1,1,39,0
CCBr,1,40,0
CCBr,1,40,0
CCBr,1,41,0
CCBr,1,41,0
CCBr,1,42,0
C=O,2,42,0
Nc1ccccc1,1,42,0
C#C,0,43,1
C#CC,1,44,1
Cc1ccccc1,1,44,1
C#Cc1ccccc1,1,45,0
C#CC,1,46,0
C#CC,1,46,0
C#CC,1,47,0
OC1CCCCO1,1,47,0
C#CC,1,48,0
Cc1ccccc1,1,48,0
CC=Cc1ccccc1,2,49,0
C=C1C=CC=N1,1,50,0
C=C1C=CC=N1,1,50,0
c1ccc(CC2(c3ccccc3)OCCO2)cc1,4,51,0
c1ccc(Cc2cc3ccccc3cn2)cc1,3,52,1
Cc1ccccc1,1,52,1
Cc1ccccc1,1,53,1
c1ccc2ccccc2c1,1,53,1
c1ccc(Cc2nc3ccccc3[nH]2)cc1,2,54,1
c1ccc(CC2OCCO2)cc1,2,55,0
Cc1ccccc1,1,56,0
Cc1ccccc1,1,56,0
CC1CCCC1,1,56,0
CC1CCCC1,1,57,0
CC1CCCCC1,1,57,0
CC1CCCC1,1,57,0
Cc1ccco1,1,58,0
c1ncc2[nH]cnc2n1,1,58,0
Cc1ccco1,1,59,1
Cc1ccco1,1,59,1
CC,2,60,1
CC,2,60,1
CC1(C)C[C@H](O)C[C@@]2(C)O[C@H]12,6,60,1
CC,2,60,1
CC,2,60,1
CC1(C)C[C@H](O)C[C@@]2(C)O[C@H]12,6,60,1
CC,2,61,1
CC,2,61,1
CC1(C)C[C@H](O)C[C@@]2(C)O[C@H]12,6,61,1
CC,2,61,1
CC,2,61,1
CC1(C)C[C@H](O)C[C@@](C)(O)C1,7,61,1
CC,2,62,1
CC,2,62,1
CC1=C[C@H](O)CC(C)(C)C1,5,62,1
CC,2,62,1
CC,2,62,1
CC1=CC(C)(C)C[C@H](O)C1,5,62,1
CC,2,63,1
CC,2,63,1
CC1=CC(C)(C)C[C@H](O)C1,5,63,1
CC,2,63,1
CC,2,63,1
CC1(C)C[C@H](O)C[C@@]2(C)O[C@H]12,6,63,1
CC,2,64,1
CC,2,64,1
CC1=CC(C)(C)C[C@H](O)C1,5,64,1
CC,2,64,1
CC,2,64,1
CC1=CC(C)(C)C[C@H](O)C1,5,64,1
CC,2,65,1
CC,2,65,1
CC1=CC(C)(C)CCC1,4,65,1
CC,2,65,1
CC,2,65,1
CC1=CC(C)(C)CCC1,4,65,1
CCO,3,66,0
O=CO,2,66,0
O=CO,2,66,0
O=CO,2,66,0
C=C[C@@H](C)O,4,67,1
CCO,2,67,1
C[C@H]1CCCC(C)(C)C1,4,67,1
